Notes,Race,Race Code,Cause of death,Cause of death Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,White,2106-3,"Bacterial sepsis of newborn, unspecified",P36.9,Male,M,< 1 year,1,29,Not Applicable,Not Applicable
,White,2106-3,Unspecified intraventricular (nontraumatic) haemorrhage of newborn,P52.3,Female,F,< 1 year,1,16,Not Applicable,Not Applicable
,White,2106-3,Unspecified intraventricular (nontraumatic) haemorrhage of newborn,P52.3,Male,M,< 1 year,1,18,Not Applicable,Not Applicable
,White,2106-3,Necrotizing enterocolitis of newborn,P77,Female,F,< 1 year,1,12,Not Applicable,Not Applicable
,White,2106-3,Necrotizing enterocolitis of newborn,P77,Male,M,< 1 year,1,19,Not Applicable,Not Applicable
,White,2106-3,Hydrops fetalis not due to haemolytic disease,P83.2,Female,F,< 1 year,1,17,Not Applicable,Not Applicable
,White,2106-3,Hydrops fetalis not due to haemolytic disease,P83.2,Male,M,< 1 year,1,12,Not Applicable,Not Applicable
,White,2106-3,Hypoxic ischemic encephalopathy of newborn,P91.6,Female,F,< 1 year,1,22,Not Applicable,Not Applicable
,White,2106-3,Hypoxic ischemic encephalopathy of newborn,P91.6,Male,M,< 1 year,1,23,Not Applicable,Not Applicable
,White,2106-3,Anencephaly,Q00.0,Female,F,< 1 year,1,26,Not Applicable,Not Applicable
,White,2106-3,Anencephaly,Q00.0,Male,M,< 1 year,1,15,Not Applicable,Not Applicable
,White,2106-3,Hypoplastic left heart syndrome,Q23.4,Female,F,< 1 year,1,16,Not Applicable,Not Applicable
,White,2106-3,Hypoplastic left heart syndrome,Q23.4,Male,M,< 1 year,1,15,Not Applicable,Not Applicable
,White,2106-3,"Congenital malformation of heart, unspecified",Q24.9,Female,F,< 1 year,1,37,Not Applicable,Not Applicable
,White,2106-3,"Congenital malformation of heart, unspecified",Q24.9,Male,M,< 1 year,1,42,Not Applicable,Not Applicable
,White,2106-3,"Congenital malformation of heart, unspecified",Q24.9,Male,M,1-4 years,4-Jan,10,Not Applicable,Not Applicable
,White,2106-3,Hypoplasia and dysplasia of lung,Q33.6,Female,F,< 1 year,1,22,Not Applicable,Not Applicable
,White,2106-3,Hypoplasia and dysplasia of lung,Q33.6,Male,M,< 1 year,1,35,Not Applicable,Not Applicable
,White,2106-3,"Renal agenesis, unspecified",Q60.2,Male,M,< 1 year,1,12,Not Applicable,Not Applicable
,White,2106-3,"Osteochondrodysplasia, unspecified",Q78.9,Male,M,< 1 year,1,10,Not Applicable,Not Applicable
,White,2106-3,Congenital diaphragmatic hernia,Q79.0,Male,M,< 1 year,1,28,Not Applicable,Not Applicable
,White,2106-3,"Multiple congenital malformations, not elsewhere classified",Q89.7,Female,F,< 1 year,1,17,Not Applicable,Not Applicable
,White,2106-3,"Multiple congenital malformations, not elsewhere classified",Q89.7,Male,M,< 1 year,1,22,Not Applicable,Not Applicable
,White,2106-3,"Congenital malformation, unspecified",Q89.9,Male,M,< 1 year,1,15,Not Applicable,Not Applicable
,White,2106-3,"Down syndrome, unspecified",Q90.9,Female,F,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,"Down syndrome, unspecified",Q90.9,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,"Edwards syndrome, unspecified",Q91.3,Female,F,< 1 year,1,44,Not Applicable,Not Applicable
,White,2106-3,"Edwards syndrome, unspecified",Q91.3,Male,M,< 1 year,1,28,Not Applicable,Not Applicable
,White,2106-3,"Patau syndrome, unspecified",Q91.7,Male,M,< 1 year,1,24,Not Applicable,Not Applicable
,White,2106-3,"Bradycardia, unspecified",R00.1,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,Asphyxia,R09.0,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Female,F,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Female,F,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Female,F,75-84 years,75-84,23,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Female,F,85+ years,85+,32,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Male,M,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Male,M,65-74 years,65-74,22,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Male,M,75-84 years,75-84,24,Not Applicable,Not Applicable
,White,2106-3,Respiratory arrest,R09.2,Male,M,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Senility,R54,Female,F,85+ years,85+,28,Not Applicable,Not Applicable
,White,2106-3,Senility,R54,Male,M,85+ years,85+,19,Not Applicable,Not Applicable
,White,2106-3,Cardiogenic shock,R57.0,Female,F,65-74 years,65-74,15,Not Applicable,Not Applicable
,White,2106-3,Cardiogenic shock,R57.0,Female,F,75-84 years,75-84,14,Not Applicable,Not Applicable
,White,2106-3,Cardiogenic shock,R57.0,Female,F,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,Cardiogenic shock,R57.0,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,Cardiogenic shock,R57.0,Male,M,65-74 years,65-74,34,Not Applicable,Not Applicable
,White,2106-3,Cardiogenic shock,R57.0,Male,M,75-84 years,75-84,29,Not Applicable,Not Applicable
,White,2106-3,Cardiogenic shock,R57.0,Male,M,85+ years,85+,16,Not Applicable,Not Applicable
,White,2106-3,"Shock, unspecified",R57.9,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,"Haemorrhage, not elsewhere classified",R58,Female,F,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,"Haemorrhage, not elsewhere classified",R58,Female,F,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,"Haemorrhage, not elsewhere classified",R58,Female,F,75-84 years,75-84,17,Not Applicable,Not Applicable
,White,2106-3,"Haemorrhage, not elsewhere classified",R58,Female,F,85+ years,85+,17,Not Applicable,Not Applicable
,White,2106-3,"Haemorrhage, not elsewhere classified",R58,Male,M,65-74 years,65-74,15,Not Applicable,Not Applicable
,White,2106-3,"Haemorrhage, not elsewhere classified",R58,Male,M,75-84 years,75-84,20,Not Applicable,Not Applicable
,White,2106-3,Other lack of expected normal physiological development,R62.8,Female,F,65-74 years,65-74,11,Not Applicable,Not Applicable
,White,2106-3,Other lack of expected normal physiological development,R62.8,Female,F,85+ years,85+,37,Not Applicable,Not Applicable
,White,2106-3,Other lack of expected normal physiological development,R62.8,Male,M,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Other specified general symptoms and signs,R68.8,Female,F,65-74 years,65-74,13,Not Applicable,Not Applicable
,White,2106-3,Other specified general symptoms and signs,R68.8,Female,F,75-84 years,75-84,11,Not Applicable,Not Applicable
,White,2106-3,Other specified general symptoms and signs,R68.8,Female,F,85+ years,85+,21,Not Applicable,Not Applicable
,White,2106-3,Other specified general symptoms and signs,R68.8,Male,M,65-74 years,65-74,18,Not Applicable,Not Applicable
,White,2106-3,Other specified general symptoms and signs,R68.8,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,Other specified general symptoms and signs,R68.8,Male,M,85+ years,85+,16,Not Applicable,Not Applicable
,White,2106-3,Sudden infant death syndrome - SIDS,R95,Female,F,< 1 year,1,53,Not Applicable,Not Applicable
,White,2106-3,Sudden infant death syndrome - SIDS,R95,Male,M,< 1 year,1,57,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Female,F,< 1 year,1,38,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Female,F,25-34 years,25-34,12,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Female,F,45-54 years,45-54,12,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Female,F,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Female,F,75-84 years,75-84,16,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Female,F,85+ years,85+,36,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Male,M,< 1 year,1,33,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Male,M,25-34 years,25-34,12,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Male,M,35-44 years,35-44,14,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Male,M,45-54 years,45-54,15,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Male,M,55-64 years,55-64,15,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,White,2106-3,Other ill-defined and unspecified causes of mortality,R99,Male,M,75-84 years,75-84,17,Not Applicable,Not Applicable
,White,2106-3,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,Female,F,15-24 years,15-24,11,Not Applicable,Not Applicable
,White,2106-3,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,Male,M,25-34 years,25-34,13,Not Applicable,Not Applicable
,White,2106-3,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,Male,M,45-54 years,45-54,15,Not Applicable,Not Applicable
,White,2106-3,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,Male,M,55-64 years,55-64,16,Not Applicable,Not Applicable
,White,2106-3,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,Male,M,65-74 years,65-74,17,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Female,F,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,15-24 years,15-24,15,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,25-34 years,25-34,14,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,35-44 years,35-44,17,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,45-54 years,45-54,33,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,55-64 years,55-64,24,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,65-74 years,65-74,21,Not Applicable,Not Applicable
,White,2106-3,Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,White,2106-3,"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident",V20.4,Male,M,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,Male,M,15-24 years,15-24,10,Not Applicable,Not Applicable
,White,2106-3,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,Male,M,25-34 years,25-34,14,Not Applicable,Not Applicable
,White,2106-3,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,Male,M,45-54 years,45-54,11,Not Applicable,Not Applicable
,White,2106-3,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,Male,M,55-64 years,55-64,20,Not Applicable,Not Applicable
,White,2106-3,"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",V28.4,Male,M,45-54 years,45-54,10,Not Applicable,Not Applicable
,White,2106-3,"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident",V28.4,Male,M,55-64 years,55-64,10,Not Applicable,Not Applicable
,White,2106-3,Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,Male,M,45-54 years,45-54,16,Not Applicable,Not Applicable
,White,2106-3,Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,Motorcycle rider [any] injured in unspecified traffic accident,V29.9,Male,M,25-34 years,25-34,12,Not Applicable,Not Applicable
,White,2106-3,Motorcycle rider [any] injured in unspecified traffic accident,V29.9,Male,M,35-44 years,35-44,15,Not Applicable,Not Applicable
,White,2106-3,Motorcycle rider [any] injured in unspecified traffic accident,V29.9,Male,M,45-54 years,45-54,25,Not Applicable,Not Applicable
,White,2106-3,Motorcycle rider [any] injured in unspecified traffic accident,V29.9,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,Male,M,55-64 years,55-64,12,Not Applicable,Not Applicable
,White,2106-3,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,White,2106-3,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,Male,M,25-34 years,25-34,10,Not Applicable,Not Applicable
,White,2106-3,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,15-24 years,15-24,16,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,25-34 years,25-34,16,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,35-44 years,35-44,13,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,45-54 years,45-54,16,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,55-64 years,55-64,23,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,65-74 years,65-74,18,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,75-84 years,75-84,27,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Female,F,85+ years,85+,18,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,15-24 years,15-24,34,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,25-34 years,25-34,22,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,35-44 years,35-44,21,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,45-54 years,45-54,26,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,55-64 years,55-64,23,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,65-74 years,65-74,29,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,75-84 years,75-84,28,Not Applicable,Not Applicable
,White,2106-3,Person injured in collision between other specified motor vehicles (traffic),V87.7,Male,M,85+ years,85+,22,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,15-24 years,15-24,45,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,25-34 years,25-34,30,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,35-44 years,35-44,31,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,45-54 years,45-54,27,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,55-64 years,55-64,31,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,65-74 years,65-74,33,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,75-84 years,75-84,33,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Female,F,85+ years,85+,21,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,15-24 years,15-24,83,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,25-34 years,25-34,58,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,35-44 years,35-44,50,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,45-54 years,45-54,64,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,55-64 years,55-64,69,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,65-74 years,65-74,73,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,75-84 years,75-84,60,Not Applicable,Not Applicable
,White,2106-3,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,Male,M,85+ years,85+,39,Not Applicable,Not Applicable
,White,2106-3,Fall on same level involving ice and snow,W00,Male,M,75-84 years,75-84,15,Not Applicable,Not Applicable
,White,2106-3,"Fall on same level from slipping, tripping and stumbling",W01,Female,F,75-84 years,75-84,24,Not Applicable,Not Applicable
,White,2106-3,"Fall on same level from slipping, tripping and stumbling",W01,Female,F,85+ years,85+,52,Not Applicable,Not Applicable
,White,2106-3,"Fall on same level from slipping, tripping and stumbling",W01,Male,M,75-84 years,75-84,19,Not Applicable,Not Applicable
,White,2106-3,"Fall on same level from slipping, tripping and stumbling",W01,Male,M,85+ years,85+,32,Not Applicable,Not Applicable
,White,2106-3,Fall involving wheelchair,W05,Female,F,85+ years,85+,21,Not Applicable,Not Applicable
,White,2106-3,Fall involving wheelchair,W05,Male,M,85+ years,85+,15,Not Applicable,Not Applicable
,White,2106-3,Fall involving bed,W06,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,Fall involving bed,W06,Female,F,85+ years,85+,34,Not Applicable,Not Applicable
,White,2106-3,Fall involving bed,W06,Male,M,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,Fall involving bed,W06,Male,M,85+ years,85+,25,Not Applicable,Not Applicable
,White,2106-3,Fall involving chair,W07,Female,F,85+ years,85+,14,Not Applicable,Not Applicable
,White,2106-3,Fall involving chair,W07,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,Fall involving chair,W07,Male,M,85+ years,85+,11,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Female,F,55-64 years,55-64,31,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Female,F,65-74 years,65-74,44,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Female,F,75-84 years,75-84,46,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Female,F,85+ years,85+,49,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Male,M,45-54 years,45-54,25,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Male,M,55-64 years,55-64,49,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Male,M,65-74 years,65-74,69,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Male,M,75-84 years,75-84,69,Not Applicable,Not Applicable
,White,2106-3,Fall on and from stairs and steps,W10,Male,M,85+ years,85+,77,Not Applicable,Not Applicable
,White,2106-3,Fall on and from ladder,W11,Male,M,55-64 years,55-64,14,Not Applicable,Not Applicable
,White,2106-3,Fall on and from ladder,W11,Male,M,65-74 years,65-74,15,Not Applicable,Not Applicable
,White,2106-3,Fall on and from ladder,W11,Male,M,75-84 years,75-84,15,Not Applicable,Not Applicable
,White,2106-3,"Fall from, out of or through building or structure",W13,Male,M,65-74 years,65-74,14,Not Applicable,Not Applicable
,White,2106-3,"Fall from, out of or through building or structure",W13,Male,M,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,Other fall from one level to another,W17,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,Other fall from one level to another,W17,Male,M,65-74 years,65-74,10,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Female,F,45-54 years,45-54,11,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Female,F,55-64 years,55-64,44,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Female,F,65-74 years,65-74,80,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Female,F,75-84 years,75-84,215,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Female,F,85+ years,85+,424,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Male,M,45-54 years,45-54,30,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Male,M,55-64 years,55-64,54,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Male,M,65-74 years,65-74,149,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Male,M,75-84 years,75-84,240,Not Applicable,Not Applicable
,White,2106-3,Other fall on same level,W18,Male,M,85+ years,85+,309,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Female,F,55-64 years,55-64,57,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Female,F,65-74 years,65-74,115,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Female,F,75-84 years,75-84,284,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Female,F,85+ years,85+,542,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Male,M,35-44 years,35-44,13,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Male,M,45-54 years,45-54,29,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Male,M,55-64 years,55-64,96,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Male,M,65-74 years,65-74,156,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Male,M,75-84 years,75-84,349,Not Applicable,Not Applicable
,White,2106-3,Unspecified fall,W19,Male,M,85+ years,85+,412,Not Applicable,Not Applicable
,White,2106-3,"Struck by thrown, projected or falling object",W20,Male,M,45-54 years,45-54,10,Not Applicable,Not Applicable
,White,2106-3,"Struck by thrown, projected or falling object",W20,Male,M,55-64 years,55-64,17,Not Applicable,Not Applicable
,White,2106-3,Contact with agricultural machinery,W30,Male,M,75-84 years,75-84,12,Not Applicable,Not Applicable
,White,2106-3,Drowning and submersion while in swimming-pool,W67,Male,M,1-4 years,4-Jan,16,Not Applicable,Not Applicable
,White,2106-3,Drowning and submersion while in natural water,W69,Male,M,15-24 years,15-24,11,Not Applicable,Not Applicable
,White,2106-3,Accidental suffocation and strangulation in bed,W75,Female,F,< 1 year,1,40,Not Applicable,Not Applicable
,White,2106-3,Accidental suffocation and strangulation in bed,W75,Male,M,< 1 year,1,61,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Female,F,55-64 years,55-64,19,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Female,F,65-74 years,65-74,29,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Female,F,75-84 years,75-84,23,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Female,F,85+ years,85+,25,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Male,M,45-54 years,45-54,16,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Male,M,55-64 years,55-64,32,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Male,M,65-74 years,65-74,30,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Male,M,75-84 years,75-84,32,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,Male,M,85+ years,85+,19,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Female,F,55-64 years,55-64,19,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Female,F,65-74 years,65-74,36,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Female,F,75-84 years,75-84,50,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Female,F,85+ years,85+,72,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Male,M,45-54 years,45-54,15,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Male,M,55-64 years,55-64,36,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Male,M,65-74 years,65-74,42,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Male,M,75-84 years,75-84,86,Not Applicable,Not Applicable
,White,2106-3,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,Male,M,85+ years,85+,71,Not Applicable,Not Applicable
,White,2106-3,Exposure to uncontrolled fire in building or structure,X00,Female,F,55-64 years,55-64,11,Not Applicable,Not Applicable
,White,2106-3,Exposure to uncontrolled fire in building or structure,X00,Female,F,65-74 years,65-74,17,Not Applicable,Not Applicable
,White,2106-3,Exposure to uncontrolled fire in building or structure,X00,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,White,2106-3,Exposure to uncontrolled fire in building or structure,X00,Male,M,55-64 years,55-64,13,Not Applicable,Not Applicable
,White,2106-3,Exposure to uncontrolled fire in building or structure,X00,Male,M,65-74 years,65-74,20,Not Applicable,Not Applicable
,White,2106-3,Exposure to uncontrolled fire in building or structure,X00,Male,M,75-84 years,75-84,13,Not Applicable,Not Applicable
,White,2106-3,Exposure to excessive natural cold,X31,Female,F,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,Exposure to excessive natural cold,X31,Male,M,85+ years,85+,10,Not Applicable,Not Applicable
,White,2106-3,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Female,F,25-34 years,25-34,23,Not Applicable,Not Applicable
